customer_id,first_name,last_name,email,active,address,district,postal_code,city,country,total_rentals,total_payments,first_rental,last_rental,avg_rental_duration
1,mary,smith,mary.smith@sakilacustomer.org,1,"1913 hanoi way",nagasaki,35200,sasebo,japan,32,118.68,"2005-05-25 11:30:37","2005-08-22 20:03:46",4.4688
2,patricia,johnson,patricia.johnson@sakilacustomer.org,1,"1121 loja avenue",california,17886,"san bernardino","united states",27,128.73,"2005-05-27 00:09:24","2005-08-23 17:39:35",5.5185
3,linda,williams,linda.williams@sakilacustomer.org,1,"692 joliet street",attika,83579,athenai,greece,26,135.74,"2005-05-27 17:17:09","2005-08-23 07:10:14",5.8846
4,barbara,jones,barbara.jones@sakilacustomer.org,1,"1566 inegöl manor",mandalay,53561,myingyan,myanmar,22,81.78,"2005-06-15 09:31:28","2005-08-23 07:43:00",3.8636
5,elizabeth,brown,elizabeth.brown@sakilacustomer.org,1,"53 idfu parkway",nantou,42399,nantou,taiwan,37,143.63,"2005-05-29 07:25:16","2005-08-22 17:37:02",5.0270
6,jennifer,davis,jennifer.davis@sakilacustomer.org,1,"1795 santiago de compostela way",texas,18743,laredo,"united states",28,93.72,"2005-05-25 08:43:32","2005-08-23 06:41:32",5.4286
7,maria,miller,maria.miller@sakilacustomer.org,1,"900 santiago de compostela parkway","central serbia",93896,kragujevac,yugoslavia,33,151.67,"2005-05-25 06:04:08","2005-08-21 04:49:48",5.6061
8,susan,wilson,susan.wilson@sakilacustomer.org,1,"478 joliet way",hamilton,77948,hamilton,"new zealand",24,92.76,"2005-05-30 03:43:54","2005-08-23 14:31:19",4.5417
9,margaret,moore,margaret.moore@sakilacustomer.org,1,"613 korolev drive",masqat,45844,masqat,oman,22,84.78,"2005-05-27 05:01:28","2005-08-21 13:53:59",4.5455
10,dorothy,taylor,dorothy.taylor@sakilacustomer.org,1,"1531 salé drive",esfahan,53628,esfahan,iran,25,99.75,"2005-05-31 19:36:30","2005-08-22 21:59:29",6.0000
